Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-07-02 04:00:00,231.04,231.61,227.63,228.6,89716.96043,2020-07-02 07:59:59.999000 ,20564220.1725636,33624.0,44478.40626,10192700.1693003,0.0
2020-07-02 08:00:00,228.63,229.47,227.0,228.19,94045.84155,2020-07-02 11:59:59.999000 ,21473539.632093,30874.0,42811.4994,9774414.839484,0.0
2020-07-02 12:00:00,228.19,231.42,224.5,225.07,164492.6658,2020-07-02 15:59:59.999000 ,37498152.7096901,53184.0,73128.16525,16674766.1675784,0.0
2020-07-02 16:00:00,225.09,226.72,222.87,225.72,122040.37426,2020-07-02 19:59:59.999000 ,27481415.4042773,42937.0,58912.09977,13268364.0661401,0.0
2020-07-02 20:00:00,225.73,228.35,225.1,226.46,67238.38244,2020-07-02 23:59:59.999000 ,15255726.3039628,24305.0,35351.05767,8021250.6649739,0.0
2020-07-03 00:00:00,226.46,228.13,225.32,226.28,56934.11559,2020-07-03 03:59:59.999000 ,12909148.225819,25596.0,27160.23244,6159690.8076045,0.0
2020-07-03 04:00:00,226.29,227.52,225.65,227.21,46926.62391,2020-07-03 07:59:59.999000 ,10643268.066309,21626.0,23225.39936,5269129.4851106,0.0
2020-07-03 08:00:00,227.23,228.11,225.5,227.14,62634.83049,2020-07-03 11:59:59.999000 ,14202644.2637076,27347.0,30438.79922,6904754.3454232,0.0
2020-07-03 12:00:00,227.12,228.11,226.25,226.92,55286.7516,2020-07-03 15:59:59.999000 ,12560757.9703305,24013.0,28394.35595,6452082.3139353,0.0
2020-07-03 16:00:00,226.92,227.41,225.75,226.39,43466.189,2020-07-03 19:59:59.999000 ,9848301.7240357,20028.0,20281.07666,4596113.3323494,0.0
2020-07-03 20:00:00,226.4,226.91,223.97,224.87,49329.98981,2020-07-03 23:59:59.999000 ,11122858.2533657,20557.0,24235.05847,5462618.407481,0.0
